fips_code,state,area_name,total_population,total_population_norm
01001,AL,Autauga County,60342.0,0.006239999536390355
01003,AL,Baldwin County,253507.0,0.026229543483169623
01005,AL,Barbour County,24585.0,0.0025397115809896037
01007,AL,Bibb County,21868.0,0.0022585447500243707
01009,AL,Blount County,59816.0,0.006185566796939597
01011,AL,Bullock County,9897.0,0.0010197342481896975
01013,AL,Butler County,18382.0,0.001897798495793674
01015,AL,Calhoun County,116429.0,0.012044123219992504
01017,AL,Chambers County,34079.0,0.0035221914827871467
01019,AL,Cherokee County,25666.0,0.002651578104461601
01021,AL,Chilton County,46431.0,0.004800429501220183
01023,AL,Choctaw County,12252.0,0.0012634397641717086
01025,AL,Clarke County,22337.0,0.002307078884629705
01027,AL,Clay County,14111.0,0.0014558170695689735
01029,AL,Cleburne County,15639.0,0.0016139410731445627
01031,AL,Coffee County,55643.0,0.005753726831677204
01033,AL,Colbert County,58361.0,0.006034997146937972
01035,AL,Conecuh County,11174.0,0.0011518836935863123
01037,AL,Coosa County,10268.0,0.0010581269218327234
01039,AL,Covington County,37952.0,0.0039229861593894095
01041,AL,Crenshaw County,13101.0,0.0013512979310798731
01043,AL,Cullman County,92016.0,0.009517761113126756
01045,AL,Dale County,49871.0,0.005156415477856327
01047,AL,Dallas County,36165.0,0.0037380597232705755
01049,AL,DeKalb County,72569.0,0.007505302017881672
01051,AL,Elmore County,90441.0,0.009354773347661079
01053,AL,Escambia County,36558.0,0.0037787290514153444
01055,AL,Etowah County,103241.0,0.010679372330493242
01057,AL,Fayette County,15967.0,0.001647883922079637
01059,AL,Franklin County,31802.0,0.003286557741856769
01061,AL,Geneva County,26988.0,0.0027883843431572354
01063,AL,Greene County,7341.0,0.0007552283888054
01065,AL,Hale County,14888.0,0.001536224367198707
01067,AL,Henry County,17899.0,0.0018478155810508665
01069,AL,Houston County,108462.0,0.011219663837475016
01071,AL,Jackson County,53467.0,0.005528545004595737
01073,AL,Jefferson County,662895.0,0.06859477226314566
01075,AL,Lamar County,13661.0,0.0014092491365787802
01077,AL,Lauderdale County,96814.0,0.01001427876309775
01079,AL,Lawrence County,33502.0,0.0034624810442641656
01081,AL,Lee County,183215.0,0.018955425381510377
01083,AL,Limestone County,114654.0,0.011860438595420075
01085,AL,Lowndes County,9717.0,0.0010011070749936202
01087,AL,Macon County,18370.0,0.0018965566842472686
01089,AL,Madison County,412600.0,0.042693170512522534
01091,AL,Marengo County,18684.0,0.0019290507530448702
01093,AL,Marion County,29244.0,0.0030218449138814042
01095,AL,Marshall County,100756.0,0.010422213856091841
01097,AL,Mobile County,411640.0,0.04259382558881012
01099,AL,Monroe County,19229.0,0.001985449694110771
01101,AL,Montgomery County,224980.0,0.02327744698447798
01103,AL,Morgan County,125133.0,0.012944850528318374
01105,AL,Perry County,7738.0,0.0007963116541323038
